"","Name","Platform","Year_of_Release","Genre","Publisher","NA_players","EU_players","JP_players","Other_players","Global_players","Critic_Score","Critic_Count","User_Score","User_Count","Developer","Rating"
"1051","Deal or No Deal","DS","2007","Misc","Mindscape",11500000,4e+06,0,1500000,1700000,20,13,1.9,41,"Artefacts Studio","E"
"1055","NCAA Football 07","PS2","2006","Sports","Electronic Arts",14100000,5e+05,0,2300000,1700000,87,18,8.6,23,"EA Sports","E"
"1056","The Sims 3: Late Night Expansion Pack","PC","2010","Simulation","Electronic Arts",5900000,8700000,0,2300000,1700000,74,17,5.3,77,"The Sims Studio","T"
"1060","SOCOM 3: U.S. Navy SEALs","PS2","2005","Shooter","Sony Computer Entertainment",12200000,3400000,4e+05,1e+06,1690000,82,59,8.8,64,"Zipper Interactive","M"
"1066","Harry Potter and the Sorcerer's Stone","GBA","2001","Action","Electronic Arts",8700000,6600000,8e+05,8e+05,1690000,64,8,7.1,7,"Griptonite Games","E"
"1067","Dragon Ball Z: The Legacy of Goku","GBA","2002","Role-Playing","Infogrames",15200000,1200000,0,5e+05,1690000,53,15,6.9,28,"Webfoot Technologies","E"
"1072","Need For Speed: Undercover","X360","2008","Racing","Electronic Arts",7900000,7e+06,1e+05,1800000,1680000,64,62,5.9,104,"EA Vancouver","T"
"1076","Saints Row 2","PS3","2008","Action","THQ",8800000,5400000,2e+05,2500000,1680000,82,50,7.9,135,"Volition Inc.","M"
"1081","The Sims: Superstar","PC","2003","Simulation","Electronic Arts",16700000,0,0,0,1680000,79,20,8.2,25,"Maxis","T"
"1083","We Ski","Wii","2008","Sports","Namco Bandai Games",9700000,4e+06,1400000,1500000,1670000,67,32,8.5,12,"Bandai Namco Games","E"
"1084","Star Wars Battlefront: Renegade Squadron","PSP","2007","Shooter","LucasArts",9e+06,4600000,0,3200000,1670000,73,35,7.9,46,"Rebellion","T"
"1085","SSX 3","PS2","2003","Sports","Electronic Arts",9300000,5200000,0,2200000,1670000,93,41,9.1,125,"EA Canada","E"
"1086","Madden NFL 2001","PS","2000","Sports","Electronic Arts",15800000,5e+05,0,4e+05,1670000,90,14,6.8,4,"EA Sports","E"
"1087","Star Wars: Battlefront II","XB","2005","Shooter","Activision",12200000,3900000,0,6e+05,1670000,83,40,8.9,106,"Pandemic Studios","T"
"1089","Tony Hawk's Pro Skater 3","PS","2001","Sports","Activision",10900000,4900000,2e+05,7e+05,1670000,87,10,8.3,36,"Shaba Games","E"
"1093","Spy Hunter","PS2","2001","Racing","Midway Games",11300000,3200000,0,2200000,1670000,84,28,7.8,13,"Paradigm Entertainment","T"
"1094","NCAA Football 2004","PS2","2003","Sports","Electronic Arts",13500000,9e+05,0,2300000,1670000,94,15,8.8,81,"EA Sports","E"
"1095","Fight Night Round 3","PS3","2006","Fighting","Electronic Arts",8100000,5800000,1e+05,2600000,1670000,83,37,7.9,24,"EA Chicago","T"
"1097","SpongeBob SquarePants: Battle for Bikini Bottom","PS2","2003","Platform","THQ",10800000,4500000,0,1400000,1670000,71,9,9,85,"Heavy Iron Studios","E"
"1099","Big Beach Sports","Wii","2008","Sports","THQ",4500000,10200000,0,2e+06,1660000,44,17,8,41,"HB Studios Multimedia","E"
"1101","SSX","PS2","2000","Sports","Electronic Arts",7800000,6100000,6e+05,2e+06,1660000,93,35,8.3,33,"EA Sports Big","E"
"1102","Shaun White Snowboarding: Road Trip","Wii","2008","Sports","Ubisoft",9300000,5600000,0,1600000,1660000,78,28,8.7,22,"Ubisoft","E10+"
"1103","NBA Ballers","PS2","2004","Sports","Midway Games",8100000,6300000,0,2100000,1660000,83,44,9.2,19,"Midway","E"
"1105","NBA Live 2003","PS2","2002","Sports","Electronic Arts",12500000,1500000,3e+05,2200000,1660000,83,22,8.3,28,"EA Canada","E"
"1106","LEGO Batman 2: DC Super Heroes","X360","2012","Action","Warner Bros. Interactive Entertainment",9e+06,6100000,0,1500000,1660000,79,59,7.2,114,"TT Games","E10+"
"1107","Dragon Ball Z: Budokai Tenkaichi","PS2","2005","Fighting","Atari",9600000,1200000,5400000,4e+05,1660000,72,29,8.4,71,"Spike","T"
"1111","Mario Party 6","GC","2004","Misc","Nintendo",9e+06,1100000,6e+06,5e+05,1650000,71,33,7.9,51,"Hudson Soft","E"
"1113","Star Wars The Clone Wars: Lightsaber Duels","Wii","2008","Action","LucasArts",12100000,3e+06,0,1400000,1650000,56,24,6.7,18,"Krome Studios","T"
"1114","Need for Speed Carbon","X360","2006","Racing","Electronic Arts",7600000,6900000,2e+05,1800000,1650000,77,52,6.3,82,"EA Canada","E10+"
"1117","MySims","Wii","2007","Simulation","Electronic Arts",9e+06,5400000,4e+05,1700000,1650000,68,38,7.2,56,"EA Redwood Shores","E"
"1123","Tiger Woods PGA Tour 2003","PS2","2002","Sports","Electronic Arts",8e+06,6300000,0,2100000,1640000,88,18,8.9,18,"EA Sports","E"
"1125","Prince of Persia: Warrior Within","PS2","2004","Action","Ubisoft",5400000,8800000,0,2200000,1640000,83,51,8.5,120,"Ubisoft Montreal","M"
"1127","ESPN NFL 2K5","XB","2004","Sports","Sega",15400000,2e+05,0,7e+05,1630000,92,42,9.1,93,"Visual Concepts","E"
"1129","Pikmin","GC","2001","Strategy","Nintendo",7800000,2500000,5600000,4e+05,1630000,89,39,8.7,121,"Nintendo","E"
"1130","Tiger Woods PGA Tour 2004","PS2","2003","Sports","Electronic Arts",11800000,3400000,0,1e+06,1630000,89,23,8.8,40,"EA Sports","E"
"1133","Ape Escape","PS","1999","Platform","Sony Computer Entertainment",7100000,4800000,3200000,1100000,1630000,90,19,8.8,53,"SCEI","E"
"1134","NCAA Football 2005","PS2","2004","Sports","Electronic Arts",13200000,9e+05,0,2200000,1620000,88,29,8.8,35,"EA Tiburon","E"
"1136","Viva Pinata","X360","2006","Simulation","Microsoft Game Studios",4500000,9500000,2e+05,2e+06,1620000,84,65,8,131,"Rare Ltd.","E"
"1138","Kinectimals","X360","2010","Simulation","Microsoft Game Studios",10200000,4600000,0,1300000,1620000,74,50,3.1,69,"Frontier Developments","E"
